Category;Subcategory;Technologies name;Technologies param;c_inv;c_maint;gwp_constr;lifetime;c_p;fmin_perc;fmax_perc;f_min;f_max;Comment
;;Name (simplified);Name (in model and documents);"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[Meuro/GW]
[Meuro/GWh] 
[Meuro/(Mkmpass/h)] 
[Meuro/(Mtonkm/h)]";"[ktonCO2_eq/GW]
[ktonCO2_eq/GWh]
[ktonCO2_eq/(Mkmpass/h)]
[ktonCO2_eq/(Mtonkm/h)]";[years];[];[];[];[GW];[GW];
Mobility;Passenger private;CAR_DIESEL_PRIVATE;CAR_DIESEL_PRIVATE;0;0;0;10;1;0.006603439;0.007603439;0;1.00E+15;
Mobility;Passenger private;BUS_DIESEL_PRIVATE;BUS_DIESEL_PRIVATE;0;0;0;15;1;0.187633974;0.188633974;0;1.00E+15;
Mobility;Passenger private;PICKUP_TRUCK_DIESEL_PRIVATE;PICKUP_TRUCK_DIESEL_PRIVATE;0;0;0;10;1;0.000406038;0.001406038;0;1.00E+15;
Mobility;Passenger private;SUV_DIESEL_PRIVATE;SUV_DIESEL_PRIVATE;0;0;0;10;1;0.001731563;0.002731563;0;1.00E+15;
Mobility;Passenger private;MOTORCYCLE_DIESEL_PRIVATE;MOTORCYCLE_DIESEL_PRIVATE;0;0;0;10;1;0.000561952;0.001561952;0;1.00E+15;
Mobility;Passenger public;CAR_DIESEL_PUBLIC;CAR_DIESEL_PUBLIC;0;0;0;10;1;0.001938263;0.002938263;0;1.00E+15;
Mobility;Passenger public;BUS_DIESEL_PUBLIC;BUS_DIESEL_PUBLIC;0;0;0;15;1;0.186353597;0.187353597;0;1.00E+15;
Mobility;Passenger public;PICKUP_TRUCK_DIESEL_PUBLIC;PICKUP_TRUCK_DIESEL_PUBLIC;0;0;0;10;1;0.000401608;0.001401608;0;1.00E+15;
Mobility;Passenger public;SUV_DIESEL_PUBLIC;SUV_DIESEL_PUBLIC;0;0;0;10;1;0.000637995;0.001637995;0;1.00E+15;
Mobility;Passenger public;MOTORCYCLE_DIESEL_PUBLIC;MOTORCYCLE_DIESEL_PUBLIC;0;0;0;10;1;0.000547566;0.001547566;0;1.00E+15;
Mobility;Freight;TRUCK_FG;TRUCK_FG;0;0;0;15;1;0.04317297;0.04417297;0;1E+15;
Mobility;Freight;VAN_FG;VAN_FG;0;0;0;10;1;0.000721838;0.001721838;0;1E+15;
Mobility;Freight;CARGO_MOTORCYCLE_FG;CARGO_MOTORCYCLE_FG;0;0;0;10;0.999999997;0;1;0;0;
Mobility;Freight;TRUCK_GASOLINE;TRUCK_GASOLINE;0;0;0;15;1;0.74665107;0.74765107;0;1.00E+15;
Mobility;Freight;VAN_GASOLINE;VAN_GASOLINE;0;0;0;10;1;0.012483759;0.013483759;0;1.00E+15;
Mobility;Freight;CARGO_MOTORCYCLE_GASOLINE;CARGO_MOTORCYCLE_GASOLINE;0;0;0;10;0.999999997;0.000005897;0.001005897;0;1.00E+15;
Mobility;Freight;TRUCK_DIESEL_P;TRUCK_DIESEL_P;0;0;0;15;1;0.193724651;0.194724651;0;1.00E+15;
Mobility;Freight;VAN_DIESEL;VAN_DIESEL;0;0;0;10;1;0.003239012;0.004239012;0;1.00E+15;
Mobility;Freight;CARGO_MOTORCYCLE_DIESEL;CARGO_MOTORCYCLE_DIESEL;0;0;0;10;0.999999997;0.000000804;0.001000804;0;1.00E+15;
